% Author: Mohamed Idries
% Date and Time: 25 July 2016 15:23
% Comment:
% In this trial I installed a single sonar (maxSonar EZ 1) 3m from each wall. 
% *----------------------
% |         
% |           ^
% |	      3m
% |         
% |   
% |  < 3m     X
% |
% 
% Assuming 0 degrees is pointing up and 90 degrees is pointing to the left.
% I obtained the data by slowly moving it around the fixed point from 0 degrees to 90 degrees.
% Format: Milliseconds, Sonar, AccX, AccY, AccZ, GyrX, GyrY, GyrZ
6,650,-2348,96,15704,-466,195,1066,297,0,0,0,0,0,0
9,297,0,0,0,0,0,0
11,297,-2176,768,15328,-533,4241,-772
15,294,-2016,712,15320,-17,6199,-1704
19,294,-2096,816,15444,720,7534,-2443
22,294,-2132,644,15464,1598,7723,-2350
26,297,-2240,680,15512,169,2536,-2349
29,297,-2140,680,15320,-140,275,-237
33,294,-2068,736,15300,-188,168,-191
36,297,-2100,684,15316,-182,196,-150
40,297,-2052,636,15236,-206,189,-165
44,297,-2092,732,15284,-209,200,-136
48,297,-2044,688,15284,-192,193,-143
51,297,-2084,648,15412,-188,188,-152
55,294,-2200,696,15384,-218,192,-149
58,297,-2028,724,15404,-184,206,-170
61,297,-2076,676,15268,-193,193,-156
65,294,-2112,656,15412,-175,185,-136
68,297,-2056,612,15316,-193,197,-141
72,297,-2100,592,15412,-200,208,-148
75,294,-2136,672,15488,-176,195,-146
79,294,-2180,632,15356,-182,208,-158
82,297,-2100,764,15380,-197,195,-155
87,294,-2164,680,15336,-191,198,-142
90,297,-2104,712,15240,-196,188,-163
94,297,-2108,636,15340,-187,177,-154
97,297,-2108,576,15364,-184,180,-132
101,294,-2084,632,15284,-194,194,-172
104,294,-2152,684,15460,-207,202,-149
108,294,-2136,608,15368,-198,180,-127
111,294,-2084,624,15328,-211,194,-157
115,294,-2092,596,15320,-197,192,-148
118,294,-2060,632,15244,-187,199,-138
122,294,-2076,668,15396,-188,184,-162
125,292,-2136,652,15520,-187,203,-158
130,292,-2132,628,15324,-187,181,-152
133,292,-2076,636,15176,-186,200,-159
137,294,-2104,620,15412,-197,204,-140
140,294,-2136,672,15472,-187,183,-149
144,292,-2080,796,15552,-169,180,-154
147,294,-2048,668,15396,-189,188,-163
151,294,-2128,716,15448,-199,190,-148
155,294,-2128,684,15356,-177,188,-150
158,297,-2204,660,15168,-199,216,-155
162,297,-2128,664,15304,-195,187,-159
165,294,-2096,664,15400,-188,185,-131
169,294,-2004,732,15352,-208,184,-154
173,294,-1956,648,15408,-196,214,-152
177,297,-2060,656,15364,-189,195,-135
180,294,-2184,724,15220,-198,177,-147
184,297,-2216,672,15360,-195,198,-143
187,294,-2076,724,15356,-202,191,-145
191,297,-2060,724,15376,-172,195,-154
194,297,-2124,700,15260,-186,204,-157
198,297,-2080,664,15424,-212,190,-139
201,297,-2184,636,15476,-191,177,-134
205,294,-2116,632,15316,-162,198,-154
208,297,-2052,648,15336,-182,169,-154
212,299,-2140,736,15292,-182,182,-158
216,297,-2064,704,15204,-200,204,-157
220,297,-2084,756,15308,-197,193,-158
223,297,-2136,656,15416,-186,205,-138
227,297,-2112,704,15360,-186,196,-160
230,297,-2000,704,15344,-171,193,-141
234,297,-2056,684,15396,-202,188,-155
238,297,-2160,728,15616,-183,192,-135
241,297,-2188,772,15280,-198,196,-156
245,299,-2044,552,15220,-199,197,-152
248,299,-2068,684,15240,-198,190,-154
252,299,-2096,696,15460,-192,201,-144
256,299,-2108,740,15312,-166,181,-127
260,299,-2148,680,15484,-181,215,-165
263,297,-2132,708,15416,-186,196,-138
267,297,-2204,568,15404,-177,190,-134
270,297,-2160,692,15312,-183,204,-164
274,297,-2180,648,15388,-194,195,-135
277,297,-2080,712,15288,-178,190,-137
281,297,-2124,668,15424,-185,175,-140
284,297,-2164,548,15368,-185,202,-156
288,297,-2152,756,15432,-202,182,-139
